FIELD,VALUE
Hospital/Clinic Name,Cedar Crest Hospital
Address,"123 Medical Drive, Gudu, Abuja FCT"
Contact Person,Dr. Amina Mohammed
Contact Phone,080-1234-5678
Inspection Date,12/01/2026
Inspector Name,Ibrahim Yusuf
Generator Score (0-10),8.5
Generator Status,Excellent
Generator Issues Found,Oil slightly dark; Battery terminals have minor corrosion
Generator Detailed Notes,"Generator is in good operational condition. Load test passed successfully. Oil level adequate but color indicates it's nearing change interval. Battery voltage at 12.6V which is acceptable. No fuel leaks detected. Exhaust smoke is normal. Generator has been well-maintained overall."
Generator Recommendations,"Oil change - ₦15,000; Battery terminal cleaning - ₦5,000"
Generator Photo Filename,cedar_gen_jan2026.jpg
HVAC Score (0-10),7
HVAC Status,Good
HVAC Issues Found,Unit 3 in main ward making rattling noise; Unit 5 in reception cooling inadequately; Filters in 4 units are dirty
HVAC Detailed Notes,"Out of 8 AC units, 6 are functioning well. Unit 3 requires urgent attention as the noise suggests a loose component or failing bearing. Unit 5 is not cooling to desired temperature (currently 26°C instead of 20°C). All filters were inspected and 4 need immediate cleaning or replacement."
HVAC Recommendations,"Service Unit 3 - ₦30,000; Gas refill Unit 5 - ₦20,000; Clean/replace 4 filters - ₦20,000 (₦5,000 each)"
HVAC Photo Filename,cedar_hvac_jan2026.jpg
Equipment Environment Score (0-10),8
Equipment Environment Status,Excellent
Equipment Environment Issues Found,Temperature slightly elevated in imaging room during peak hours
Equipment Environment Detailed Notes,"Medical equipment storage and operating rooms maintain good environmental conditions. Temperature monitoring shows imaging room reaches 28°C during afternoon peak hours, which is within acceptable range but not optimal. Dust levels are minimal. Ventilation is adequate throughout."
Equipment Environment Recommendations,"Install additional ventilation fan in imaging room - ₦40,000"
Equipment Environment Photo Filename,cedar_equip_jan2026.jpg
Water Systems Score (0-10),6.5
Water Systems Status,Good
Water Systems Issues Found,Water pressure low in second floor; External water tank shows rust/corrosion; One tap in staff toilet dripping
Water Systems Detailed Notes,"Water supply is generally reliable but pressure on second floor is noticeably lower than ground floor. External inspection of overhead tank reveals rust patches on exterior surface which may indicate need for cleaning and maintenance. Small leak in staff toilet tap causing water wastage estimated at 20 liters per day."
Water Systems Recommendations,"Tank cleaning and exterior treatment - ₦80,000; Pump pressure adjustment - ₦15,000; Tap repair - ₦8,000"
