Company Name,Industry,Email,Phone,Source Method,Status,Lead Magnet Sent,Contact Person,Contact Title,Notes
PW Nigeria Limited,Construction,christophermcquillan@pwnigeria.com,,Cold Email,Contacted,Yes,Sabau Din,CEO,Call: Incorrect Number
Reynolds Construction Company,Construction,md@rccnigeria.com,,Cold Email,Contacted,Yes,David Amrami,Director of Finance,Call: Called
Arab Contractors Nigeria,Construction,esraa.ashraf@arabcont.com,+234 702 984 7612,Cold Email,Engaged,Yes,Eng. Wael Farouk,Manager,Call: Available to Proceed
Dantata & Sawoe,Construction,nasiru.dantata@dantata-sawoe.com,+234 9 330 0000,Cold Email,Contacted,Yes,Dantata Nasiru,Executive Director,Call: Not Available
Quantum Construct Ltd,Construction,info@quantumconstructltd.com,+234 806 4937 448 +234 806 0601 111,Cold Email,Contacted,Yes,Yusuf Abubakar,COO & Founder,
SABC Limited,Construction,abdulmajeed@sabcltd.com,0705 439 3280,Cold Email,Contacted,Yes,Emmanuel Adejo,CEO,Call: Called
AG Vision Construction,Construction,info@agvisionconstruction.com,+234 803 595 0491,Cold Email,Contacted,Yes,Tony Abou Ghazale,CEO,Call: Not Available
Setraco Nigeria,Construction,info@setraco.net,+234 806 944 7441,Cold Email,Contacted,Yes,Michael Hachenberg,MD,Call: Could Not Reach Stakeholder
Monier Construction,Construction,info@mccnig.com,,Cold Email,Contacted,Yes,-,-,Call: Could Not Reach Stakeholder
Constrix Real Estate,Real Estate,customerservice@constrix.com.ng,+234 9 290 9176,Cold Email,Contacted,Yes,Nura Danmusa,CEO,Call: Not Available
Mshel Homes,Real Estate,-,+234 807 491 8900,Cold Email,Contacted,Yes,Barka Mshelia,CEO,Call: Called
Bilaad Realty,Real Estate,info@bilaadnigeria.com,+234 700 222 2111,Cold Email,Contacted,Yes,Aliyu Aliyu,CEO,Call: Not Available
Lead Property Mall,Real Estate,admin@leadpropertymall.com,+234 802 056 5929,Cold Email,Contacted,Yes,-,-,Call: Not Available; saying where disturbing him
DITTO GROUP,Real Estate,dittogrouppng@gmail.com,+2348175008943+2348091331943 -,Cold Email,Contacted,Yes,Engr. Bolaji Abayomi,CEO,Call: Could Not Reach Stakeholder
Double J Properties,Real Estate,info@doublejnigeria.com,+234 913 000 4806,Cold Email,Contacted,Yes,-,-,Call: Could Not Reach Stakeholder
Rotimi Olu & Co,Real Estate,info@rotimioluandco.com,0805 3999 228,Cold Email,Contacted,Yes,Cosmas Mbarga,CAO,Call: Could Not Reach Stakeholder; call back - meeting  still needs to proceed- vivian
A.A Gulak & Co1,Real Estate,-,,Cold Email,Contacted,Yes,-,-,Call: Called
The MLS Properties,Real Estate,office@themlsproperties.com,070-561-44444,Cold Email,Contacted,Yes,-,-,Call: Not Available
Ayeye & Co,Real Estate,kubwa@ayeyeproperties.co,+234 803 354 3027,Cold Email,Contacted,Yes,Victor Ayeye,CEO,Call: Called
Dalema supermarket,Supermarket,,0806 674 4234,Cold Outreach,Contacted,No,,,Call: Called
"Kanti Plus Supermarket, Kaduna",Supermarket,,9075555423,Cold Email,Contacted,Yes,,,Call: Called
Sahad stores,Supermarket,sahadstoresltdarea11@gmail.com.,,Cold Email,Contacted,Yes,,,Incorrect Number; Call: Called
4u supermarket,Supermarket,support@4usupermarket.com.ng,0802 535 9797,Cold Email,Contacted,Yes,,,Call: Called
Gadzama and Sons,Supermarket,,+234 913 091 9481,Cold Outreach,New,No,,,Incorrect Number; Call: Not Available
Dialogue pharmacy,Pharmacy,,,Cold Email,Contacted,Yes,,,Call: Called; call back
Lotusmart Supermarket,Supermarket,lotusmartnig@gmail.com,,Cold Email,Contacted,Yes,Khaidara Aliyu Sa'i,,Call: Incorrect Number
Dia city,Supermarket,,+234 803 322 6652,Cold Email,Contacted,Yes,Abdullah Shau'ibu Bello,,Call: Called; call back - meeting  still needs to proceed
Costcutter Nigeria,Supermarket,,+234 908 528 9220,Cold Email,Contacted,Yes,,,Call: Called; call back -lucy -monday
Prince Ebeano,Supermarket,feedback@princeebeano.com,09157294187,Cold Email,Contacted,Yes,,,Incorrect Number; Call: Called
Tibilon Construction Ltd,Construction,info@tibilonconstruction.com.ng,,Cold Email,Contacted,Yes,Tochukwu Nnamoko,CEO,Call: Incorrect Number
Spitze Construction Ltd,Construction,info@spitzeconstruction.com,469809+12,Cold Email,Contacted,Yes,Arc. Abubakar Iliyasu,CEO,Incorrect Email; Call: Called; call back
Kouris Construction Nig. Ltd.,Construction,info@kourisconstruction.com,,Cold Email,Contacted,Yes,,,Call: Incorrect Number
Acuspare Projects & Engineering Services Limited,Construction,info@acuspare.com,234706+12,Cold Email,Contacted,Yes,,,Call: Called
Glides Contractors Ltd,Construction,glidescontractors@gmail.com,0806 168 4614,Cold Email,Contacted,Yes,,,Call: Called
ARFO Construction Company Nigeria Ltd,Construction,info@arfoccn.com,,Cold Email,Contacted,Yes,,,Call: Called
Embee & Partners Nigeria Limited,Construction,,,Cold Email,Engaged,Yes,,,Call: Available to Proceed
Ecomaxx Engineering Projects Ltd,Construction,,,Cold Outreach,Contacted,No,,,Incorrect Number; Call: Called
Mekahog Group Limited,Construction,,+234 9 290 2686,Cold Outreach,New,No,,,Incorrect Number; Call: Incorrect Number
Enerco Nigeria Limited,Construction,info@enerco.net,,Cold Email,Contacted,Yes,,,Call: Incorrect Number
Atlas Petroleum International,Oil and Gas,,+23408051514455,Cold Outreach,Contacted,No,,,Incorrect Number; Call: Called
NIQ OIL AND GAS LIMITED,Oil and Gas,admin@niqong.com,+2349033058380,Cold Email,Contacted,Yes,,,Incorrect Number; Call: Not Available
Nigerian Gas Company,Oil and Gas,,,Cold Outreach,New,No,,,Call: Incorrect Number
Gas Aggregator Company Nigeria LTD/GTE,Oil and Gas,,,Cold Outreach,New,No,,,Call: Incorrect Number
9-Ber oil & Gas limited,Oil and Gas,beroilltd@gmail.com,,Cold Email,Contacted,Yes,,,Call: Called; call back - meeting  still needs to proceed-proposal whatsapp
Rexbridge Oil & Gas Nigeria Limited,Oil and Gas,,0703 095 6396,Cold Outreach,Contacted,No,,,Incorrect Email; Call: Called
Oceangate Oil and Gas Limited,Oil and Gas,,0909 996 6648,Cold Outreach,Contacted,No,,,Incorrect Number; Call: Called
Oilworld Limited,Oil and Gas,,,Cold Outreach,New,No,,,Call: Incorrect Number
