Company Name,Industry,Email Addresses,Phone,Text,Proposal Status,Contact Error ,Contact Person,Current Customer Feedback,Contact Title,Email Pattern,Reminder Call Status ,Reminder Call Note
PW Nigeria Limited,Construction,"mailto:christophermcquillan@pwnigeria.com
mailto:baturedankawu@pwnigeria.com
mailto:sabaudin@pwnigeria.com
mailto:dinsabau@pwnigeria.com",https://www.google.com/search?q=pw+nigeria+limited&oq=PW+NIGERIA+lIMITED&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBwgDEAAYgAQyCAgEEAAYFhgeMggIBRAAGBYYHjIICAYQABgWGB4yCAgHEAAYFhgeMggICBAAGBYYHjIICAkQABgWGB7SAQg1NTk5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8#,"Enterprise Digital Transformation Proposal: Project
Management, Automation & ERP Integration for PW
Nigeria Limited",Sent,,Sabau Din,,CEO,{first}{last}@pwnigeria.com,Incorrect Number,
Reynolds Construction Company,Construction,"mailto:md@rccnigeria.com
mailto:alexy@rccnigeria.com
davidamramimailto:info@rccnigeria.com
mailto:amramidavid@rccnigeria.com",https://www.google.com/search?q=Reynolds+Construction+Company&sca_esv=fa25cb492db56b5e&sxsrf=ANbL-n5fDy1BN9LVtpq9vDD8olr-yUUvsA%3A1770812041425&ei=iXKMaZvYGaSB9u8P2bTGyQs&biw=1242&bih=545&ved=0ahUKEwjbwMX1tNGSAxWkgP0HHVmaMbkQ4dUDCBM&uact=5&oq=Reynolds+Construction+Company&gs_lp=Egxnd3Mtd2l6LXNlcnAiHVJleW5vbGRzIENvbnN0cnVjdGlvbiBDb21wYW55Mg4QLhiABBjRAxjHARjJAzIKEAAYgAQYQxiKBTILEC4YgAQYxwEYrwEyCxAAGIAEGJECGIoFMgUQABiABDIKEAAYgAQYQxiKBTIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyHRAuGIAEGNEDGMcBGMkDGJcFGNwEGN4EGOAE2AEBSKQ-UPk3WPk3cAN4AZABAJgB-wGgAfsBqgEDMi0xuAEDyAEA-AEC-AEBmAIEoALIAsICChAAGLADGNYEGEeYAwCIBgGQBgi6BgYIARABGBSSBwUzLjAuMaAH8AyyBwMyLTG4B6oCwgcJMi0yLjEuMC4xyAdAgAgA&sclient=gws-wiz-serp#,"Enterprise Digital Transformation Proposal: Project
Management, Automation & ERP Integration for
Reynolds Construction Company",Sent,,David Amrami,,Director of Finance,{first}@rccnigeria.com,Called,
Arab Contractors Nigeria,Construction,"mailto:esraa.ashraf@arabcont.com
wael.faroukmailto:info@arabcont.com
mailto:farouk.wael@arabcont.com
mailto:mohamed.youssef@arabcont.com
waelfaroukmailto:info@arabcont.com
mailto:faroukwael@arabcont.com",+234 702 984 7612,"Strategic Development in Digital Project Management, BIM + AI ",Sent,,Eng. Wael Farouk,,Manager,{first}.{last}@arabcont.com,Available to Proceed,
Dantata & Sawoe,Construction,mailto:nasiru.dantata@dantata-sawoe.com,+234 9 330 0000,,Sent,,Dantata Nasiru,,Executive Director,{first}.{last}@dantata-sawoe.com,Not Available,
Quantum Construct Ltd,Construction,mailto:info@quantumconstructltd.com,+234 806 4937 448 +234 806 0601 111,,Sent,,Yusuf Abubakar,,COO & Founder,{first}@http://quantumconstructltd.com/,,
SABC Limited,Construction,"abdulmajeed@sabcltd.com

",0705 439 3280,,Sent,,Emmanuel Adejo,,CEO,{first}@sabcltd.com,Called,
AG Vision Construction,Construction,"mailto:info@agvisionconstruction.com
elias@agvisionconstruction.com
leba@agvisionconstruction.com
joe.b@agvisionconstruction.com",+234 803 595 0491,,Sent,,Tony Abou Ghazale,,CEO,{first}@agvisionconstruction.com,Not Available,
Setraco Nigeria,Construction,"mailto:info@setraco.net
personnel.hoffice@setraco.net",+234 806 944 7441,,Sent,,Michael Hachenberg,,MD,,Could Not Reach Stakeholder,
Monier Construction,Construction,info@mccnig.com,https://www.google.com/search?q=mONIER+CONSTRUCTION&sca_esv=fa25cb492db56b5e&biw=536&bih=544&sxsrf=ANbL-n6CPmfC3xU2sKmQpxfzUmZhfbjviA%3A1770812085171&ei=tXKMad6LCqmrhbIPr8mXyAE&ved=0ahUKEwieurOKtdGSAxWpVUEAHa_kBRkQ4dUDCBM&uact=5&oq=mONIER+CONSTRUCTION&gs_lp=Egxnd3Mtd2l6LXNlcnAiE21PTklFUiBDT05TVFJVQ1RJT04yCxAAGIAEGJECGIoFMhAQLhiABBhDGMcBGIoFGK8BMgUQABiABDIFEAAYgAQyCxAAGIAEGJECGIoFMg0QLhiABBjRAxjHARgKMgUQABiABDIFEAAYgAQyCxAuGIAEGMcBGK8BMgUQABiABEj6XFCCEVjiV3ABeAGQAQCYAYYDoAH0E6oBBTItOC4xuAEDyAEA-AEBmAIIoAK2EqgCCMICHBAuGIAEGNEDGEMYtAIY5wYYxwEYigUY6gLYAQHCAhwQLhiABBhDGLQCGOcGGMcBGIoFGOoCGK8B2AEBwgIWEAAYgAQYQxi0AhjnBhiKBRjqAtgBAcICERAuGIAEGJECGNEDGMcBGIoFwgILEC4YgAQYsQMYgwHCAgsQABiABBixAxiDAcICDhAAGIAEGLEDGIMBGIoFwgIIEC4YgAQYsQPCAhEQLhiABBixAxjRAxjHARiKBcICChAAGIAEGEMYigXCAgoQLhiABBhDGIoFwgIOEC4YgAQYsQMY0QMYxwHCAgsQABiABBixAxiKBcICCBAAGIAEGLEDwgIREC4YgAQYkQIYxwEYigUYrwHCAgsQLhiABBiRAhiKBcICDRAuGIAEGLEDGEMYigXCAg0QABiABBixAxhDGIoFwgIQEC4YgAQY0QMYQxjHARiKBcICBxAAGIAEGAqYAw3xBSbE82o02h6lugYECAEYB5IHCTEuMC4xLjUuMaAHu5sBsgcHMi0xLjUuMbgHqRLCBwczLTEuNi4xyAeTAoAIAA&sclient=gws-wiz-serp#,,Sent,,-,,-,,Could Not Reach Stakeholder,
Constrix Real Estate,Real Estate,"customerservice@constrix.com.ng
danmusa@constrix.com.ng
nura@constrix.ng
danmusa@constrix.ng",+234 9 290 9176,,Sent,,Nura Danmusa,,CEO,,Not Available,
