Company Name,Type,Email,Phone,Location,Status,Notes
Smile Dental Abuja,Dental,info.sdp@smiledentalgrp.com,07063620709,,New,Already in pipeline
Zoom Exclusive Dental,Dental,zoomexclusivedentalservices@gmail.com,07014141487,,New,Already in pipeline
Onyx 360 Dental Clinic,Dental,onyx360dentalcare@yahoo.com,08187046419,,New,Already in pipeline
Smile 360,Dental,reception@smile360ng.com,08181360444,,New,Already in pipeline
Snow Dental Care PHC,Dental,kelvinonwachukwu@gmail.com,08081775448,,New,Already in pipeline
Beacon Hill Clinic,Dental,,08125215208,,New,Already in pipeline
Beam Dental Clinic,Dental,egwoloredje@gmail.com,08078352939,,New,Already in pipeline
QH Specialist Dental,Dental,qhspecialistdentalclinics@gmail.com,07052200501,,New,Already in pipeline
Crystal Palace Dental Care,Dental,crystalpalacedentalcareabuja@gmail.com,07082000533,,New,Already in pipeline
Bethel Dental Clinic,Dental,doctoruche73@yahoo.com,08037151942,,New,Already in pipeline
Blanche Dental Clinic,Dental,blanchedentalbusiness@gmail.com,09011999176,,New,Already in pipeline
First Mobile Dental Care,Dental,firstmobiledentalcare@gmail.com,08037876386,,New,Already in pipeline
Luxe Dental,Dental,luxedentalpractise@gmail.com,09044374007,,New,Already in pipeline
SS Dental Clinic,Dental,bizdev@ssdentalclinicltd.com,08088878265,,New,Already in pipeline
Lead Medical Hub,Dental,leadmedical0@gmail.com,09065199645,,New,Already in pipeline
Brighton Dental Clinic,Dental,info@brightondentalng.com,07044333359,,New,Already in pipeline
Ferayan DD Clinic,Dental,ferayanpatients@gmail.com,09016444444,,New,Already in pipeline
Hilton Dental Clinics,Dental,,,New,Already in pipeline - incomplete email
Summit Dental Clinic,Dental,info@summitdentalclinics.com,09098575704,Garki 2,New,
Smile Dental Practice Maitama,Dental,info@smiledentalgrp.com,+234 703 978 4006,Maitama,New,Also Central Area branch
Dazzle Dental Clinic,Dental,dazzledental@gmail.com,+234 812 492 5066,Wuse 2,New,
Bellevue Dental Clinic,Dental,,+234 809 114 9418,Wuse II / Maitama,New,No email found
Bethel Dental Clinic Wuse,Dental,betheldentalclinic@yahoo.com,+234 803 715 1942,Wuse 2,New,Also Jabi branch
Alpha Hills Dental Clinics,Dental,alphahillsdentalclinics@gmail.com,+234 803 787 1090,Wuse Zone 5,New,
